time,max_vel_x,max_vel_y,max_vel_z,min_vel_z
1.001,0.28356129587726,0.15381855832753,0.43761186638608,-0.11309077908092
1.0022,0.26472431082968,0.15541087008005,0.33313451632675,-0.096145526141678
1.00364,0.27024860993884,0.17969801040511,0.34165864991497,-0.092512408323795
1.005368,0.28227124950956,0.19780015419801,0.34713081060848,-0.10248878567545
1.0074416,0.29819016180544,0.21364947599291,0.35292873734013,-0.14030511468065
1.00992992,0.3155549601415,0.22893976692808,0.35951876638349,-0.18562076059846
1.012915904,0.33521673140854,0.24483607236588,0.36698783037412,-0.24720912152075
1.0164990848,0.35789842044278,0.26207919413051,0.37540904810866,-0.32337715257692
1.02079890176,0.38607853288264,0.28116225705735,0.38485615414716,-0.41171730975332
1.025958682112,0.42062959013316,0.30242473520484,0.39538859986356,-0.51234081122272
1.0321504185344,0.461753070282,0.34549435962455,0.40704395570002,-0.62516471954625
1.0395805022413,0.51052853574374,0.39786224569101,0.41983856150467,-0.74648775218053
1.0484966026895,0.57864085327561,0.46180319810056,0.4337881905514,-0.86935966728558
1.0591959232274,0.68735491557349,0.54016362894239,0.44897046244806,-1.0472128452618
1.0720351078729,0.81521925726535,0.63651165806687,0.46753957131845,-1.26044359478
1.0874421294475,0.99366414549128,0.7553312917188,0.49059033500734,-1.5139113764943
1.105930555337,1.1856608731387,0.90229402506094,0.51415515141649,-1.8185100251376
1.1281166664044,1.3864606170167,1.0846293163339,0.55126231121857,-2.1893537528338
1.1547399996853,1.5937928115893,1.3118129922285,0.63183351613689,-2.6469518068784
1.1866879996224,1.8091124357689,1.5993574919313,0.70960635760301,-3.2183973025308
1.2026619995909,1.8842847182783,1.7859702559893,0.73467185982302,-3.4896073937843
1.2218307995531,1.9917593254841,1.9851386655859,0.7863884031147,-3.8320063896366
1.2448333595078,2.1191667120803,2.2232349554409,0.83788973848998,-4.246450415414
1.2586348954806,2.1732162698338,2.394476301341,0.86723099288756,-4.4739090223033
1.2603600874772,2.14610100846,2.4554402744542,0.87820045695091,-4.4888278744299
1.2605757364768,2.1146303965524,2.4830124768587,0.88581290735504,-4.4755788746695
1.2607913854764,2.0913312214437,2.5006440223006,0.89006268187905,-4.4635928753685
1.2610501642759,2.0765778763087,2.5133246788955,0.89263322831076,-4.4488938686063
1.2612054315556,2.0659214067808,2.5225293519474,0.89413832786195,-4.4402106807612
1.2613606988353,2.0586625898019,2.5298737496227,0.89505784997722,-4.4311876005046
1.2614538592031,2.0528485463436,2.5355373635948,0.89546305973239,-4.4258810765524
1.2615470195709,2.0486875370407,2.5402137321034,0.8955607884606,-4.4205144572174
1.2616029157916,2.0451942661308,2.5438988161189,0.89536963621081,-4.4174601565565
1.2616588120123,2.0426371746174,2.5469712081153,0.89500446814732,-4.4144107392596
1.2616923497447,2.0404535991845,2.5494176486188,0.89447369958149,-4.4127662974036
1.2617258874771,2.0388392162233,2.5514648335762,0.89384646373788,-4.4111303011509
1.261766132756,2.0377460762751,2.5532636633931,0.89315496193664,-4.4091818793499
1.2617782063397,2.0365254336496,2.5546137989784,0.89237946160588,-4.4089651185893
1.2617902799233,2.0356086259858,2.5557273556517,0.89157659847567,-4.408673510146
1.2618047682237,2.0349744150834,2.5566895600925,0.89075627256694,-4.4082418670483
1.261813461204,2.0344266481295,2.557473243633,0.88992301568953,-4.408168401087
1.2618221541842,2.0340217046465,2.5581392955237,0.88909504814967,-4.4080807334679
1.2618273699724,2.0336738490643,2.5586869562059,0.88827344940735,-4.4081932159307
1.2618325857605,2.0334199647965,2.5591540580061,0.88746930491445,-4.40828651608
1.2618388447063,2.0332533555779,2.5595663825567,0.88668769869491,-4.4083099559903
1.2618426000738,2.0330978558895,2.5599093997107,0.88592761986822,-4.4084748651836
1.2618463554412,2.0329869837499,2.5602064768134,0.88519515420568,-4.4086186825443
