time,avg_T,keff,max_T
0,0,0,0
1,936,0.91015349964269,936
2,1234.0469972216,0.87670009196153,1800
3,1239.859615639,0.87696143724801,1800
4,1245.7443859758,0.87715817950404,1800
5,1251.4144966883,0.87357449584802,1800
